
720fa952-e19a-4e41-ab27-bcd17a9e0151,partner_spark_v1__ab2f0a76-a5da-4a0d-a292-b868b52254d4,partner_spark_v1,rpbxqlkhsn008.webex.com,null,ab2f0a76-a5da-4a0d-a292-b868b52254d4
0d0f7353-6891-42aa-8e96-78d7e2a0e4f8,partner_spark_v1__6e827ded-20dc-49e0-a0c3-da075da790fc,partner_spark_v1,rpbtqlkhsn008.webex.com,null,6e827ded-20dc-49e0-a0c3-da075da790fc
premium_spark_cb7dbab2-8dcb-454f-9002-9774dd28ed35_sjc,premium_spark_v1__cb7dbab2-8dcb-454f-9002-9774dd28ed35,premium_spark_v1,rpbtqlkhsn008.webex.com,null,cb7dbab2-8dcb-454f-9002-9774dd28ed35
premium_spark_a11b7387-9858-4792-a977-e2edeae38aba_sjc,premium_spark_v1__a11b7387-9858-4792-a977-e2edeae38aba,premium_spark_v1,rpbtqlkhsn008.webex.com,null,a11b7387-9858-4792-a977-e2edeae38aba
test45,premium_spark_v1__test45,premium_spark_v1,rpbtqlkhsn011.webex.com,null,test45
test_partner,partner_spark_v1__1eb65fdf-9643-417f-9974-ad72cae0e10f,partner_spark_v1,rpbtqlkhsn008.webex.com,no,someorg
partner_spark_2b89525d-d39b-4b8b-8814-2b235d777a10_sjc,partner_spark_v1__2b89525d-d39b-4b8b-8814-2b235d777a10,partner_spark_v1,rpbtqlkhsn011.webex.com,null,2b89525d-d39b-4b8b-8814-2b235d777a10
partner_webex_v1__bc65f19d-0a70-4b46-b712-2a2c6ebda53f_sjc4,partner_webex_v1__bc65f19d-0a70-4b46-b712-2a2c6ebda53f,partner_webex_v1,rpbtqlkhsn011.webex.com,null,bc65f19d-0a70-4b46-b712-2a2c6ebda53f
siemensdev2.webex.com,premium_webex_v1__297,premium_webex_v1,rpbtqlkhsn011.webex.com,null,siemensdev2.webex.com
5562b39a-21fb-45e9-9faa-d45b7cc6d8c7,partner_spark_v1__6e827ded-20dc-49e0-a0c3-da075da790fc,partner_spark_v1,rpbxqlkhsn003.webex.com,null,6e827ded-20dc-49e0-a0c3-da075da790fc
premium_spark_7cc93e58-2470-45e3-9812-856fed12c26e_sjc,premium_spark_v1__7cc93e58-2470-45e3-9812-856fed12c26e,premium_spark_v1,rpbtqlkhsn009.webex.com,null,7cc93e58-2470-45e3-9812-856fed12c26e
82731c8e-751d-4b6b-a080-c5f93fa0f597,partner_spark_v1__2b89525d-d39b-4b8b-8814-2b235d777a10,partner_spark_v1,rpbtqlkhsn007.webex.com,null,2b89525d-d39b-4b8b-8814-2b235d777a10
e32442dc-21ff-4eaa-a0a0-6e23cb0c223e,partner_spark_v1__be155b09-43d7-4cd0-aca8-2c44ebbdb4bf,partner_spark_v1,rpbxqlkhsn005.webex.com,null,be155b09-43d7-4cd0-aca8-2c44ebbdb4bf
abc2,premium_webex_v1__12393352,premium_webex_v1,rpbtqlkhsn010.webex.com,null,null
premium_spark_a73ac4fd-e725-4ecb-b5b9-bc40886ec76e_sjc,premium_spark_v1__a73ac4fd-e725-4ecb-b5b9-bc40886ec76e,premium_spark_v1,rpbtqlkhsn009.webex.com,null,a73ac4fd-e725-4ecb-b5b9-bc40886ec76e
premium_spark_08980833-15c7-41fa-b811-71dc94b5d494_sjc,premium_spark_v1__08980833-15c7-41fa-b811-71dc94b5d494,premium_spark_v1,rpbtqlkhsn008.webex.com,null,08980833-15c7-41fa-b811-71dc94b5d494
premium_spark_45841584-c94e-4cb2-8c38-c6d440a3d004_sjc,premium_spark_v1__45841584-c94e-4cb2-8c38-c6d440a3d004,premium_spark_v1,rpbtqlkhsn010.webex.com,null,45841584-c94e-4cb2-8c38-c6d440a3d004
partner_spark_bc65f19d-0a70-4b46-b712-2a2c6ebda53f_sjc,partner_spark_v1__bc65f19d-0a70-4b46-b712-2a2c6ebda53f,partner_spark_v1,rpbtqlkhsn009.webex.com,null,bc65f19d-0a70-4b46-b712-2a2c6ebda53f
